"facenum","ITI","ISI","block","emotion","reward"
4,1800,1500,5,"happy","CEV"
19,1800,1400,5,"happy","CEV"
6,1100,900,5,"happy","CEV"
16,1900,900,5,"happy","CEV"
21,1700,700,5,"happy","CEV"
8,2000,600,5,"happy","CEV"
10,1100,1100,5,"happy","CEV"
1,1000,800,5,"happy","CEV"
20,1000,700,5,"happy","CEV"
14,2000,400,5,"happy","CEV"
1,1900,500,6,"scram","IEV"
2,1800,600,6,"scram","IEV"
20,1400,700,6,"scram","IEV"
19,1200,1100,6,"scram","IEV"
21,1000,1300,6,"scram","IEV"
16,1600,800,6,"scram","IEV"
11,1200,700,6,"scram","IEV"
10,1500,900,6,"scram","IEV"
9,1400,600,6,"scram","IEV"
3,1200,1000,6,"scram","IEV"
13,1600,1300,6,"scram","IEV"
15,1300,1300,6,"scram","IEV"
17,2000,500,6,"scram","IEV"
8,1100,600,6,"scram","IEV"
5,1800,700,6,"scram","IEV"
7,1400,1000,6,"scram","IEV"
4,1400,600,6,"scram","IEV"
6,2000,700,6,"scram","IEV"
18,1500,1500,6,"scram","IEV"
14,1100,900,6,"scram","IEV"
12,1700,1300,6,"scram","IEV"
15,2000,1400,6,"scram","IEV"
19,1800,1200,6,"scram","IEV"
5,1800,1000,6,"scram","IEV"
6,1700,800,6,"scram","IEV"
21,1100,1300,6,"scram","IEV"
11,1000,400,6,"scram","IEV"
20,1400,1100,6,"scram","IEV"
16,1200,700,6,"scram","IEV"
10,1700,600,6,"scram","IEV"
1,1900,900,6,"scram","IEV"
12,1400,800,6,"scram","IEV"
14,2000,600,6,"scram","IEV"
4,1600,800,6,"scram","IEV"
7,1500,1200,6,"scram","IEV"
8,1900,1200,6,"scram","IEV"
9,1200,900,6,"scram","IEV"
13,1400,400,6,"scram","IEV"
2,1000,1500,6,"scram","IEV"
18,1000,1300,6,"scram","IEV"
17,1500,400,6,"scram","IEV"
3,1800,700,6,"scram","IEV"
5,1700,400,7,"happy","CEVR"
3,1600,1000,7,"happy","CEVR"
10,1900,900,7,"happy","CEVR"
1,1100,1200,7,"happy","CEVR"
9,1900,700,7,"happy","CEVR"
7,1800,500,7,"happy","CEVR"
14,1400,1200,7,"happy","CEVR"
17,1300,500,7,"happy","CEVR"
6,1700,1200,7,"happy","CEVR"
16,1100,400,7,"happy","CEVR"
11,1800,800,7,"happy","CEVR"
19,1700,600,7,"happy","CEVR"
13,1800,900,7,"happy","CEVR"
4,1500,600,7,"happy","CEVR"
12,1400,1100,7,"happy","CEVR"
21,1700,600,7,"happy","CEVR"
18,1600,1200,7,"happy","CEVR"
8,1500,1200,7,"happy","CEVR"
2,1700,900,7,"happy","CEVR"
15,1300,600,7,"happy","CEVR"
20,1600,1400,7,"happy","CEVR"
15,1900,1300,7,"happy","CEVR"
4,1700,700,7,"happy","CEVR"
18,1000,700,7,"happy","CEVR"
12,1700,400,7,"happy","CEVR"
5,1500,400,7,"happy","CEVR"
3,1800,1100,7,"happy","CEVR"
11,1700,1500,7,"happy","CEVR"
2,1000,1000,7,"happy","CEVR"
19,2000,600,7,"happy","CEVR"
1,1300,1000,7,"happy","CEVR"
6,1100,500,7,"happy","CEVR"
20,2000,600,7,"happy","CEVR"
17,1400,1300,7,"happy","CEVR"
14,1000,1000,7,"happy","CEVR"
13,1100,1400,7,"happy","CEVR"
7,1200,1500,7,"happy","CEVR"
8,1300,1300,7,"happy","CEVR"
10,1100,1500,7,"happy","CEVR"
9,1600,600,7,"happy","CEVR"
16,1000,700,7,"happy","CEVR"
21,1500,800,7,"happy","CEVR"
17,1400,900,8,"scram","DEV"
12,1100,1300,8,"scram","DEV"
21,1700,1100,8,"scram","DEV"
10,1500,600,8,"scram","DEV"
14,1600,1300,8,"scram","DEV"
1,2000,800,8,"scram","DEV"
4,1700,900,8,"scram","DEV"
19,1700,1300,8,"scram","DEV"
11,1500,700,8,"scram","DEV"
5,1400,1400,8,"scram","DEV"
9,1600,500,8,"scram","DEV"
13,1900,1000,8,"scram","DEV"
20,1200,1400,8,"scram","DEV"
6,1200,900,8,"scram","DEV"
3,1600,500,8,"scram","DEV"
18,1700,600,8,"scram","DEV"
2,1200,600,8,"scram","DEV"
16,1200,1500,8,"scram","DEV"
15,1500,1000,8,"scram","DEV"
7,1100,800,8,"scram","DEV"
8,1100,900,8,"scram","DEV"
6,1700,900,8,"scram","DEV"
5,1500,900,8,"scram","DEV"
18,1400,500,8,"scram","DEV"
2,1200,500,8,"scram","DEV"
14,1900,500,8,"scram","DEV"
7,1500,1300,8,"scram","DEV"
12,1300,600,8,"scram","DEV"
1,1400,700,8,"scram","DEV"
15,1400,500,8,"scram","DEV"
21,1600,700,8,"scram","DEV"
19,1800,1300,8,"scram","DEV"
8,1200,1500,8,"scram","DEV"
17,1800,1200,8,"scram","DEV"
4,1300,1200,8,"scram","DEV"
20,1400,1000,8,"scram","DEV"
10,1700,800,8,"scram","DEV"
3,1300,400,8,"scram","DEV"
16,2000,1300,8,"scram","DEV"
9,2000,600,8,"scram","DEV"
11,1100,1000,8,"scram","DEV"
13,1600,400,8,"scram","DEV"
5,2000,1500,9,"fear","CEVR"
4,1200,1400,9,"fear","CEVR"
14,1300,700,9,"fear","CEVR"
20,1800,800,9,"fear","CEVR"
10,2000,600,9,"fear","CEVR"
8,1700,1200,9,"fear","CEVR"
9,1700,700,9,"fear","CEVR"
17,1100,900,9,"fear","CEVR"
11,1400,700,9,"fear","CEVR"
6,2000,1500,9,"fear","CEVR"
13,1600,400,9,"fear","CEVR"
1,1500,1400,9,"fear","CEVR"
15,1400,1100,9,"fear","CEVR"
2,1000,400,9,"fear","CEVR"
16,1600,700,9,"fear","CEVR"
12,1300,700,9,"fear","CEVR"
19,1300,500,9,"fear","CEVR"
3,1500,1300,9,"fear","CEVR"
18,1400,800,9,"fear","CEVR"
7,1300,1200,9,"fear","CEVR"
21,1600,1200,9,"fear","CEVR"
14,1400,1500,9,"fear","CEVR"
4,1300,600,9,"fear","CEVR"
9,1100,1000,9,"fear","CEVR"
7,1800,700,9,"fear","CEVR"
12,1500,1000,9,"fear","CEVR"
19,1600,600,9,"fear","CEVR"
17,1300,1400,9,"fear","CEVR"
20,1400,400,9,"fear","CEVR"
3,1800,800,9,"fear","CEVR"
1,1200,1000,9,"fear","CEVR"
13,1400,500,9,"fear","CEVR"
18,1600,1300,9,"fear","CEVR"
6,1800,900,9,"fear","CEVR"
8,1500,900,9,"fear","CEVR"
11,1900,1500,9,"fear","CEVR"
5,1400,400,9,"fear","CEVR"
21,1000,1400,9,"fear","CEVR"
15,1600,900,9,"fear","CEVR"
2,1700,500,9,"fear","CEVR"
16,1400,400,9,"fear","CEVR"
10,1600,400,9,"fear","CEVR"
16,1700,700,10,"happy","IEV"
12,1400,1500,10,"happy","IEV"
15,1600,600,10,"happy","IEV"
3,1000,1100,10,"happy","IEV"
14,1400,1200,10,"happy","IEV"
4,1700,700,10,"happy","IEV"
17,1700,800,10,"happy","IEV"
7,1600,800,10,"happy","IEV"
18,1700,900,10,"happy","IEV"
13,1300,500,10,"happy","IEV"
20,1100,500,10,"happy","IEV"
6,1100,1000,10,"happy","IEV"
5,1600,600,10,"happy","IEV"
2,1900,1000,10,"happy","IEV"
19,2000,400,10,"happy","IEV"
11,1100,700,10,"happy","IEV"
9,1800,800,10,"happy","IEV"
1,1000,800,10,"happy","IEV"
8,1000,400,10,"happy","IEV"
10,1400,1300,10,"happy","IEV"
21,1700,1400,10,"happy","IEV"
1,1800,600,10,"happy","IEV"
11,1300,1100,10,"happy","IEV"
3,1200,600,10,"happy","IEV"
16,1600,1000,10,"happy","IEV"
9,1900,1400,10,"happy","IEV"
20,1900,1000,10,"happy","IEV"
21,1800,900,10,"happy","IEV"
10,1600,800,10,"happy","IEV"
4,1600,1200,10,"happy","IEV"
7,2000,700,10,"happy","IEV"
2,1800,500,10,"happy","IEV"
15,1200,700,10,"happy","IEV"
6,2000,1400,10,"happy","IEV"
13,1200,800,10,"happy","IEV"
8,1200,1300,10,"happy","IEV"
5,1100,1100,10,"happy","IEV"
17,1200,800,10,"happy","IEV"
14,2000,1000,10,"happy","IEV"
12,1000,1400,10,"happy","IEV"
18,1300,800,10,"happy","IEV"
19,1500,1000,10,"happy","IEV"
15,1200,600,11,"fear","DEV"
14,1300,1400,11,"fear","DEV"
13,2000,600,11,"fear","DEV"
2,1300,500,11,"fear","DEV"
18,1200,1200,11,"fear","DEV"
11,2000,400,11,"fear","DEV"
8,1300,900,11,"fear","DEV"
20,1100,1100,11,"fear","DEV"
12,2000,600,11,"fear","DEV"
6,1500,1500,11,"fear","DEV"
5,1500,1400,11,"fear","DEV"
17,1600,500,11,"fear","DEV"
21,1100,600,11,"fear","DEV"
10,1000,500,11,"fear","DEV"
4,1800,400,11,"fear","DEV"
16,1100,1400,11,"fear","DEV"
9,1900,1400,11,"fear","DEV"
7,1600,1100,11,"fear","DEV"
19,1800,1400,11,"fear","DEV"
1,1300,1500,11,"fear","DEV"
3,1700,1200,11,"fear","DEV"
5,1700,500,11,"fear","DEV"
19,1600,1300,11,"fear","DEV"
14,1300,600,11,"fear","DEV"
3,1700,600,11,"fear","DEV"
20,1400,1100,11,"fear","DEV"
4,2000,900,11,"fear","DEV"
1,1600,800,11,"fear","DEV"
8,1700,700,11,"fear","DEV"
2,2000,500,11,"fear","DEV"
15,1100,900,11,"fear","DEV"
12,2000,1500,11,"fear","DEV"
21,1500,1100,11,"fear","DEV"
10,1200,900,11,"fear","DEV"
9,1800,500,11,"fear","DEV"
17,1200,400,11,"fear","DEV"
6,1000,600,11,"fear","DEV"
11,1800,1400,11,"fear","DEV"
16,1100,400,11,"fear","DEV"
18,1400,600,11,"fear","DEV"
13,1100,1200,11,"fear","DEV"
7,1500,1100,11,"fear","DEV"
17,1400,800,12,"scram","CEV"
1,1800,900,12,"scram","CEV"
13,1700,800,12,"scram","CEV"
16,1000,1500,12,"scram","CEV"
18,2000,400,12,"scram","CEV"
4,1700,700,12,"scram","CEV"
7,1400,900,12,"scram","CEV"
15,1400,600,12,"scram","CEV"
14,1000,800,12,"scram","CEV"
6,1100,900,12,"scram","CEV"
8,1000,400,12,"scram","CEV"
10,1900,900,12,"scram","CEV"
19,1400,900,12,"scram","CEV"
20,1800,1500,12,"scram","CEV"
21,1600,400,12,"scram","CEV"
5,1300,1200,12,"scram","CEV"
9,1100,800,12,"scram","CEV"
11,2000,600,12,"scram","CEV"
2,2000,800,12,"scram","CEV"
3,1400,1400,12,"scram","CEV"
12,1800,900,12,"scram","CEV"
4,1500,600,12,"scram","CEV"
1,2000,1000,12,"scram","CEV"
13,1400,1300,12,"scram","CEV"
10,1000,1300,12,"scram","CEV"
14,1000,600,12,"scram","CEV"
11,1900,400,12,"scram","CEV"
17,1000,700,12,"scram","CEV"
20,1800,1000,12,"scram","CEV"
9,1200,700,12,"scram","CEV"
19,1800,1300,12,"scram","CEV"
6,1800,500,12,"scram","CEV"
21,1100,1400,12,"scram","CEV"
7,1700,1500,12,"scram","CEV"
18,1200,400,12,"scram","CEV"
5,1600,1300,12,"scram","CEV"
2,1800,800,12,"scram","CEV"
3,2000,700,12,"scram","CEV"
12,1300,1100,12,"scram","CEV"
15,1400,400,12,"scram","CEV"
8,1200,1400,12,"scram","CEV"
16,1500,1300,12,"scram","CEV"
